source,target,weight
edths_iflowers,3,0.000618811881188
ann4lisa,0,0.0107142857143
ann4lisa,3,0.00446428571429
chitraalacati,5,0.00956284153005
chitraalacati,2,0.00378310214376
chitraalacati,0,0.00327868852459
n_bok,18,0.0445402298851
n_bok,0,0.00862068965517
n_bok,19,0.00718390804598
casiebamford,0,0.00688073394495
casiebamford,12,0.00199441563622
casiebamford,1,0.000997207818109
ultracard,17,0.0231191222571
ultracard,16,0.00459770114943
ultracard,2,0.000950486295314
maisondomecq,6,0.000793021411578
maisondomecq,10,0.00057273768614
maisondomecq,2,0.000528680941052
margamust,0,0.0142857142857
margamust,12,0.00155279503106
margamust,2,0.000915750915751
leathersatchel,0,0.0156609195402
leathersatchel,2,0.0102416740348
leathersatchel,1,0.00849575212394
svennuomo,17,0.0396764252696
svennuomo,0,0.0154661016949
svennuomo,19,0.000529661016949
rachel_felson,0,0.00625
rachel_felson,12,0.0054347826087
pilohstudio,0,0.0125
pilohstudio,8,0.0113636363636
pilohstudio,9,0.00846228239845
runningslowlywhilelaughing,5,0.0104166666667
onmyheelssite,1,0.0528240552621
onmyheelssite,11,0.0308411214953
onmyheelssite,19,0.0303738317757
chris_orlikowski,17,0.0867768595041
chris_orlikowski,18,0.0416666666667
chris_orlikowski,0,0.0159090909091
manak419,0,0.00681818181818
manak419,10,0.00505050505051
hair_born,2,0.002849002849
anto_dl,3,0.09375
anto_dl,0,0.00625
anto_dl,20,0.00520833333333
valed_a,0,0.00555555555556
valed_a,3,0.00277777777778
valed_a,4,0.00238095238095
kasiasophia,6,0.0053050397878
kasiasophia,0,0.00344827586207
kasiasophia,10,0.00191570881226
houseofweddingpositano,3,0.224576271186
houseofweddingpositano,0,0.0186440677966
houseofweddingpositano,6,0.00782268578879
trasierra_life,0,0.00424528301887
trasierra_life,12,0.00123051681706
trasierra_life,7,0.000943396226415
gbeevents,12,0.00414078674948
gbeevents,14,0.00396825396825
gbeevents,0,0.00238095238095
ryanedwards_93,0,0.01
ryanedwards_93,12,0.00869565217391
theorientline,0,0.0303571428571
theorientline,12,0.00155279503106
theorientline,9,0.000379939209726
maraquici,10,0.00277777777778
maraquici,12,0.00217391304348
james_andrew,9,0.000862564692352
sjwbags,5,0.0525525525526
sjwbags,0,0.00540540540541
sjwbags,1,0.0039169604387
ants_pants,0,0.0125
regina_morrone,9,0.00531914893617
regina_morrone,3,0.00520833333333
rebecca.2601,0,0.00714285714286
ladyfox,14,0.0104166666667
homestaycom,10,0.00716845878136
homestaycom,6,0.00330851943755
homestaycom,1,0.00233754090697
isit5oclockyet,6,0.042735042735
isit5oclockyet,10,0.00462962962963
isit5oclockyet,7,0.00277777777778
capital_gian,1,0.0231884057971
capital_gian,3,0.00833333333333
capital_gian,0,0.00666666666667
gustiini,3,0.0625
gustiini,0,0.05
ashcebulka,12,0.0118089103596
ashcebulka,4,0.00881834215168
ashcebulka,16,0.00176366843034
vonbehnke,1,0.00228832951945
vonbehnke,12,0.00228832951945
pauglinapauglina,0,0.05
pauglinapauglina,2,0.012617012617
pauglinapauglina,9,0.00726106045255
el_fitzo,0,0.00714285714286
roseslens,0,0.00403050108932
roseslens,4,0.00093370681606
roseslens,5,0.000907770515614
chateauboswell,4,0.0184523809524
chateauboswell,0,0.00333333333333
chateauboswell,16,0.000793650793651
lucy_folk,0,0.000229885057471
lilycay,2,0.014245014245
lilycay,14,0.00231481481481
francesephotography,3,0.109601449275
francesephotography,6,0.0501672240803
francesephotography,15,0.00305110602593
sophie_tzv,0,0.0166666666667
blakeo,6,0.0100882723834
blakeo,4,0.0038056206089
blakeo,0,0.00368852459016
kearsleynotsearsley,0,0.01875
kearsleynotsearsley,5,0.00520833333333
kearsleynotsearsley,3,0.00390625
loftymix,4,0.00714285714286
loftymix,0,0.00666666666667
loftymix,12,0.00289855072464
francosbar,3,0.00441176470588
mermaid_in_motion,0,0.0158536585366
mermaid_in_motion,6,0.0121951219512
mermaid_in_motion,12,0.0084835630965
fildisi_antiparos,17,0.00393829996718
fildisi_antiparos,2,0.00277700638711
fildisi_antiparos,0,0.00270758122744
shivyaus,1,0.0100334448161
shivyaus,9,0.000818330605565
lucalarenza,17,0.0566653077864
lucalarenza,0,0.00156950672646
lucalarenza,12,0.00155975823747
kimcdavies,3,0.00609756097561
kimcdavies,1,0.00212089077413
kimcdavies,12,0.00106044538706
skiretzkovitzsch,0,0.0102941176471
skiretzkovitzsch,6,0.00904977375566
skiretzkovitzsch,3,0.00735294117647
sissibiz,6,0.00357781753131
sissibiz,14,0.000968992248062
kgwriter,0,0.00111111111111
kgwriter,3,0.00104166666667
kgwriter,15,0.000584795321637
catwalkschoolgates,11,0.000735294117647
catwalkschoolgates,5,0.000612745098039
catwalkschoolgates,0,0.000551470588235
poshgirl247,17,0.0121212121212
poshgirl247,5,0.00138888888889
poshgirl247,0,0.000833333333333
le_chas,0,0.0125
nives_official,2,0.0175370352362
nives_official,0,0.0051201011378
nives_official,11,0.000252844500632
despinarob,0,0.00555555555556
oliviamontiarduini,2,0.00707338638373
oliviamontiarduini,6,0.00176834659593
oliviamontiarduini,0,0.00114942528736
carskieyhouse,0,0.00757575757576
carskieyhouse,9,0.00709219858156
hair_sculptress_,0,0.00742574257426
hair_sculptress_,6,0.00533130236101
hair_sculptress_,2,0.001523229246
cedricreversade,14,0.0416666666667
luxurytraveler.us,18,0.125
beadsource,2,0.0128205128205
richardwengle,15,0.0451127819549
richardwengle,8,0.0349854227405
richardwengle,6,0.00313971742543
eclair132,0,0.005
eclair132,4,0.00357142857143
courtneykennedyshop,5,0.00694444444444
courtneykennedyshop,10,0.00115740740741
courtneykennedyshop,0,0.00104166666667
tamiwatkins,0,0.0109375
mariapatrikios,10,0.0429292929293
mariapatrikios,20,0.0126262626263
mariapatrikios,9,0.00402965828498
astridfranz_videomaker,14,0.0266393442623
astridfranz_videomaker,0,0.022131147541
astridfranz_videomaker,6,0.0113493064313
purolino.noosa,0,0.0116161616162
purolino.noosa,3,0.00441919191919
purolino.noosa,2,0.001295001295
aligunn8,2,0.00677866195108
aligunn8,12,0.00299850074963
aligunn8,0,0.00287356321839
annoushkaducas,0,0.0107142857143
annoushkaducas,2,0.0018315018315
kmcouture1,5,0.00555555555556
kmcouture1,2,0.0034188034188
kmcouture1,11,0.00222222222222
lanamaria16,16,0.00634920634921
lanamaria16,5,0.00277777777778
lanamaria16,3,0.00208333333333
carmenlago1,4,0.00415282392027
melanieleaj,0,0.00405405405405
melanieleaj,3,0.00337837837838
melanieleaj,4,0.00289575289575
fio.nyc,0,0.00888888888889
fio.nyc,3,0.00416666666667
fio.nyc,5,0.0037037037037
nevrsettl4less,0,0.0176470588235
nevrsettl4less,17,0.0160427807487
nevrsettl4less,2,0.0152200740436
navalwives_tales,3,0.00378787878788
navalwives_tales,12,0.00131752305665
navalwives_tales,2,0.001295001295
positanonews,3,0.0796232876712
positanonews,0,0.00182648401826
positanonews,12,0.000794123486202
transfer_tour,3,0.0486111111111
tarokh.irantravel1,10,0.0014245014245
